dataset,method,silhouette,ari,rand,n_clusters
baseline,kmeans,0.45139214396476746,0.5118072305244278,0.8682045062100373,12
magic,kmeans,0.46122559905052185,0.5463281825512548,0.8758077148409795,12
alra,kmeans,0.45079395174980164,0.4795259677326429,0.856247369624325,12
bbknn,kmeans,0.45139214396476746,0.5118072305244278,0.8682045062100373,12
scanorama,kmeans,0.4854396473552237,0.48568283824084385,0.8594611050323523,12
linear,kmeans,0.4188016355037689,0.5233570442827075,0.8659884608073407,12
harmony,kmeans,0.45139214396476746,0.5118072305244278,0.8682045062100373,12
